Approved symbol	Approved name	Chromosome	NCBI Gene ID
BIN2	bridging integrator 2	12q13.13	51411
BIN2P1	bridging integrator 2 pseudogene 1	4q21.22	345258
BIN2P2	bridging integrator 2 pseudogene 2	5q13.3	644601
BIN3	bridging integrator 3	8p21.3	55909
BIN3-IT1	BIN3 intronic transcript 1	8p21.3	80094
BIRC2	baculoviral IAP repeat containing 2	11q22.2	329
BIRC3	baculoviral IAP repeat containing 3	11q22.2	330
BIRC5	baculoviral IAP repeat containing 5	17q25.3	332
BIRC6	baculoviral IAP repeat containing 6	2p22.3	57448
BIRC6-AS1	BIRC6 antisense RNA 1	2p22.3	
BIRC6-AS2	BIRC6 antisense RNA 2	2p22.3	103752586
BIRC7	baculoviral IAP repeat containing 7	20q13.33	79444
BIRC8	baculoviral IAP repeat containing 8	19q13.42	112401
BISPR	BST2 interferon stimulated positive regulator	19p13.11	105221694
BIVM	basic, immunoglobulin-like variable motif containing	13q33.1	54841
BIVM-ERCC5	BIVM-ERCC5 readthrough	13q33.1	100533467
BLACAT1	BLACAT1 overlapping LEMD1 locus	1q32.1	101669762
BLACE	B cell acute lymphoblastic leukemia expressed	7q36.3	338436
BLCAP	BLCAP apoptosis inducing factor	20q11.23	10904
BLID	BH3-like motif containing, cell death inducer	11q24.1	414899
BLK	BLK proto-oncogene, Src family tyrosine kinase	8p23.1	640
BLM	BLM RecQ like helicase	15q26.1	641
BLMH	bleomycin hydrolase	17q11.2	642
BLNK	B cell linker	10q24.1	29760
BLOC1S1	biogenesis of lysosomal organelles complex 1 subunit 1	12q13.2	2647
BLOC1S2	biogenesis of lysosomal organelles complex 1 subunit 2	10q24.31	282991
BLOC1S2P1	BLOC1S2 pseudogene 1	Xq11.2	100131924
BLOC1S3	biogenesis of lysosomal organelles complex 1 subunit 3	19q13.32	388552
BLOC1S4	biogenesis of lysosomal organelles complex 1 subunit 4	4p16.1	55330
BLOC1S5	biogenesis of lysosomal organelles complex 1 subunit 5	6p24.3	63915
BLOC1S5-TXNDC5	BLOC1S5-TXNDC5 readthrough (NMD candidate)	6p24.3	100526836
BLOC1S6	biogenesis of lysosomal organelles complex 1 subunit 6	15q21.1	26258
BLOC1S6P1	BLOC1S6 pseudogene 1	Xp22.13	100130035
BLTP1	bridge-like lipid transfer protein family member 1	4q27	84162
BLTP2	bridge-like lipid transfer protein family member 2	17q11.2	9703
BLTP3A	bridge-like lipid transfer protein family member 3A	6p21.31	54887
BLTP3B	bridge-like lipid transfer protein family member 3B	12q23.1	23074
BLVRA	biliverdin reductase A	7p13	644
BLVRB	biliverdin reductase B	19q13.2	645
BLVRBP1	BLVRB pseudogene 1	3p21.31	
BLZF1	basic leucine zipper nuclear factor 1	1q24.2	8548
BLZF2P	basic leucine zipper nuclear factor 2, pseudogene	14q24.1	317729
BMAL1	basic helix-loop-helix ARNT like 1	11p15.3	406
BMAL2	basic helix-loop-helix ARNT like 2	12p11.23	56938
BMAL2-AS1	BMAL2 antisense RNA 1	12p11.23	101928646
BMERB1	bMERB domain containing 1	16p13.11	89927
BMF	Bcl2 modifying factor	15q15.1	90427
BMF-AS1	BMF antisense RNA 1	15q15.1	
BMI1	BMI1 proto-oncogene, polycomb ring finger	10p12.2	648
BMI1P1	BMI1 proto-oncogene, polycomb ring finger pseudogene 1	Xq12	100127902
BMNCR	bone marrow associated non-coding RNA	1q32.1	107985249
BMP1	bone morphogenetic protein 1	8p21.3	649
BMP2	bone morphogenetic protein 2	20p12.3	650
BMP2K	BMP2 inducible kinase	4q21.21	55589
BMP2K-DT	BMP2K divergent transcript	4q21.21	
BMP2KL	BMP2 inducible kinase like (pseudogene)	Xq13.2	347359
BMP3	bone morphogenetic protein 3	4q21.21	651
BMP4	bone morphogenetic protein 4	14q22.2	652
BMP5	bone morphogenetic protein 5	6p12.1	653
BMP6	bone morphogenetic protein 6	6p24.3	654
BMP6P1	bone morphogenetic protein 6 pseudogene 1	22q11.22	266700
BMP7	bone morphogenetic protein 7	20q13.31	655
BMP7-AS1	BMP7 antisense RNA 1	20q13.31	102723590
BMP8A	bone morphogenetic protein 8a	1p34.3	353500
BMP8B	bone morphogenetic protein 8b	1p34.2	656
BMP8B-AS1	BMP8B antisense RNA 1	1p34.2	105378666
BMP10	bone morphogenetic protein 10	2p13.3	27302
BMP15	bone morphogenetic protein 15	Xp11.22	9210
BMPER	BMP binding endothelial regulator	7p14.3	168667
BMPR1A	bone morphogenetic protein receptor type 1A	10q23.2	657
BMPR1AP1	bone morphogenetic protein receptor type 1A pseudogene 1	6q22.33	100421515
BMPR1AP2	bone morphogenetic protein receptor type 1A pseudogene 2	11q24.1	100533800
BMPR1B	bone morphogenetic protein receptor type 1B	4q22.3	658
BMPR1B-DT	BMPR1B divergent transcript	4q22.3	100507012
BMPR2	bone morphogenetic protein receptor type 2	2q33.1-q33.2	659
BMS1	BMS1 ribosome biogenesis factor	10q11.21	9790
BMS1P1	BMS1 pseudogene 1	10q11.22	399761
BMS1P2	BMS1 pseudogene 2	10q11.22	642826
BMS1P3	BMS1 pseudogene 3	10q23.2	414217
BMS1P4	BMS1 pseudogene 4	10q22.2	729096
BMS1P4-AGAP5	BMS1P4-AGAP5 readthrough	10q22.2	113939925
BMS1P7	BMS1 pseudogene 7	10q11.22	100133265
BMS1P8	BMS1 pseudogene 8	16p11.2	653557
BMS1P9	BMS1 pseudogene 9	9q13	653458
BMS1P10	BMS1 pseudogene 10	9q13	728611
BMS1P11	BMS1 pseudogene 11	9q13	644632
BMS1P12	BMS1 pseudogene 12	9q21.11	644684
BMS1P13	BMS1 pseudogene 13	9q21.11	644716
BMS1P14	BMS1 pseudogene 14	9p11.2	101929959
BMS1P15	BMS1 pseudogene 15	15q11.1	642311
BMS1P16	BMS1 pseudogene 16	15q11.2	727914
BMS1P17	BMS1 pseudogene 17	14q11.2	101101776
BMS1P18	BMS1 pseudogene 18	14q11.2	414763
BMS1P19	BMS1 pseudogene 19	2q13	100131577
BMS1P20	BMS1 pseudogene 20	22q11.22	96610
BMS1P21	BMS1 pseudogene 21	10q22.3	100288974
BMS1P22	BMS1 pseudogene 22	22q11.1	106480334
BMS1P23	BMS1 pseudogene 23	2q11.1	728034
BMT2	base methyltransferase of 25S rRNA 2 homolog	7q31.1	154743
BMX	BMX non-receptor tyrosine kinase	Xp22.2	660
BNC1	basonuclin 1	15q25.2	646
BNC2	basonuclin 2	9p22.3-p22.2	54796
BNC2-AS1	BNC2 antisense RNA 1	9p22.2	111216284
BNIP1	BCL2 interacting protein 1	5q35.1	662
BNIP2	BCL2 interacting protein 2	15q22.2	663
BNIP3	BCL2 interacting protein 3	10q26.3	664
BNIP3L	BCL2 interacting protein 3 like	8p21.2	665
BNIP3P1	BCL2 interacting protein 3 pseudogene 1	14q12	319138
BNIP3P2	BCL2 interacting protein 3 pseudogene 2	22q11.1	100421754
BNIP3P3	BCL2 interacting protein 3 pseudogene 3	18p11.21	100421736
BNIP3P4	BCL2 interacting protein 3 pseudogene 4	9q13	100289028
BNIP3P5	BCL2 interacting protein 3 pseudogene 5	15q15.1	100421724
BNIP3P6	BCL2 interacting protein 3 pseudogene 6	14q11.2	100129777
BNIP3P7	BCL2 interacting protein 3 pseudogene 7	13q11	101927265
BNIP3P8	BCL2 interacting protein 3 pseudogene 8	19p12	100421710
BNIP3P9	BCL2 interacting protein 3 pseudogene 9	19p13.11	106480280
BNIP3P10	BCL2 interacting protein 3 pseudogene 10	19p13.11	100421695
BNIP3P11	BCL2 interacting protein 3 pseudogene 11	7q11.21	106480286
BNIP3P12	BCL2 interacting protein 3 pseudogene 12	19p12	100421703
BNIP3P13	BCL2 interacting protein 3 pseudogene 13	19p12	101060192
BNIP3P14	BCL2 interacting protein 3 pseudogene 14	19p12	100421696
BNIP3P15	BCL2 interacting protein 3 pseudogene 15	19p12	
BNIP3P16	BCL2 interacting protein 3 pseudogene 16	19p12	106480418
BNIP3P17	BCL2 interacting protein 3 pseudogene 17	19p12	100421704
BNIP3P18	BCL2 interacting protein 3 pseudogene 18	19p12	106481693
BNIP3P19	BCL2 interacting protein 3 pseudogene 19	19p12	106480281
BNIP3P20	BCL2 interacting protein 3 pseudogene 20	19p12	100421705
BNIP3P21	BCL2 interacting protein 3 pseudogene 21	19p12	100131306
BNIP3P22	BCL2 interacting protein 3 pseudogene 22	19p12	100421706
BNIP3P23	BCL2 interacting protein 3 pseudogene 23	19p12	100421697
BNIP3P24	BCL2 interacting protein 3 pseudogene 24	19p12	100421698
BNIP3P25	BCL2 interacting protein 3 pseudogene 25	19p12	100421707
BNIP3P26	BCL2 interacting protein 3 pseudogene 26	19p12	100421699
BNIP3P27	BCL2 interacting protein 3 pseudogene 27	19p12	100421708
BNIP3P28	BCL2 interacting protein 3 pseudogene 28	19p12	
BNIP3P29	BCL2 interacting protein 3 pseudogene 29	19p12	100421700
BNIP3P30	BCL2 interacting protein 3 pseudogene 30	19p12	
BNIP3P31	BCL2 interacting protein 3 pseudogene 31	19p12	106480282
BNIP3P32	BCL2 interacting protein 3 pseudogene 32	19p12	
BNIP3P33	BCL2 interacting protein 3 pseudogene 33	19p12	
BNIP3P34	BCL2 interacting protein 3 pseudogene 34	19p12	100128849
BNIP3P35	BCL2 interacting protein 3 pseudogene 35	19p12	106480284
BNIP3P36	BCL2 interacting protein 3 pseudogene 36	19p12	106481696
BNIP3P37	BCL2 interacting protein 3 pseudogene 37	19p12	106480285
BNIP3P38	BCL2 interacting protein 3 pseudogene 38	19p12	100421709
BNIP3P39	BCL2 interacting protein 3 pseudogene 39	19p12	100421701
BNIP3P40	BCL2 interacting protein 3 pseudogene 40	19p12	100421702
BNIP3P41	BCL2 interacting protein 3 pseudogene 41	4p16.3	101059988
BNIP3P42	BCL2 interacting protein 3 pseudogene 42	7q11.21	106481697
BNIP3P43	BNIP3 pseudogene 43	21q11.2	
BNIP3P44	BNIP3 pseudogene 44	7q11.21	
BNIP3P45	BNIP3 pseudogene 45	2p15	
BNIP3P46	BNIP3 pseudogene 46	2q21.2	
BNIP3P47	BNIP3 pseudogene 47	19p12	
BNIP5	BCL2 interacting protein 5	6p21.31	389384
BNIPL	BCL2 interacting protein like	1q21.3	149428
BOC	BOC cell adhesion associated, oncogene regulated	3q13.2	91653
BOD1	biorientation of chromosomes in cell division 1	5q35.2	91272
BOD1L1	biorientation of chromosomes in cell division 1 like 1	4p15.33	259282
BOD1L2	biorientation of chromosomes in cell division 1 like 2	18q21.31	284257
BOD1P1	biorientation of chromosomes in cell division 1 pseudogene 1	18p11.31	100129468
BOD1P2	biorientation of chromosomes in cell division 1 pseudogene 2	18p11.31	100129355
BOK	BCL2 family apoptosis regulator BOK	2q37.3	666
BOK-AS1	BOK antisense RNA 1	2q37.3	100379249
BOLA1	bolA family member 1	1q21.2	51027
BOLA2	bolA family member 2	16p11.2	552900
BOLA2-SMG1P6	BOLA2-SMG1P6 readthrough	16p11.2	107282092
BOLA2B	bolA family member 2B	16p11.2	654483
BOLA2P1	bolA family member 2 pseudogene 1	18p11.32	100652796
BOLA2P2	bolA family member 2 pseudogene 2	3p21.31	
BOLA2P3	bolA family member 2 pseudogene 3	6p22.3	
BOLA3	bolA family member 3	2p13.1	388962
BOLA3-DT	BOLA3 divergent transcript	2p13.1	100507171
BOLA3P1	bolA family member 3 pseudogene 1	11q22.2	100288111
BOLA3P2	bolA family member 3 pseudogene 2	19p13.2	
BOLA3P3	bolA family member 3 pseudogene 3	5q23.2	644754
BOLA3P4	bolA family member 3 pseudogene 4	9p21.1	
BOLL	boule homolog, RNA binding protein	2q33.1	66037
BOP1	BOP1 ribosomal biogenesis factor	8q24.3	23246
BORA	BORA aurora kinase A activator	13q21.33	79866
BORCS5	BLOC-1 related complex subunit 5	12p13.2	118426
BORCS6	BLOC-1 related complex subunit 6	17p13.1	54785
BORCS7	BLOC-1 related complex subunit 7	10q24.32	119032
BORCS7-ASMT	BORCS7-ASMT readthrough (NMD candidate)	10q24.32	100528007
BORCS8	BLOC-1 related complex subunit 8	19p13.11	729991
BORCS8-MEF2B	BORCS8-MEF2B readthrough	19p13.11	4207
BORCS8P1	BORCS8 pseudogene 1	12p12.3	100128109
BPESC1	blepharophimosis, epicanthus inversus and ptosis candidate 1	3q23	60467
BPGM	bisphosphoglycerate mutase	7q33	669
BPHL	biphenyl hydrolase like	6p25.2	670
BPI	bactericidal permeability increasing protein	20q11.23	671
BPIFA1	BPI fold containing family A member 1	20q11.21	51297
BPIFA2	BPI fold containing family A member 2	20q11.21	140683
BPIFA3	BPI fold containing family A member 3	20q11.21	128861
BPIFA4P	BPI fold containing family A member 4, pseudogene	20q11.21	317716
BPIFB1	BPI fold containing family B member 1	20q11.21	92747
BPIFB2	BPI fold containing family B member 2	20q11.21	80341
BPIFB3	BPI fold containing family B member 3	20q11.21	359710
BPIFB4	BPI fold containing family B member 4	20q11.21	149954
BPIFB5P	BPI fold containing family B member 5, pseudogene	20q11.21	100505383
BPIFB6	BPI fold containing family B member 6	20q11.21	128859
BPIFB9P	BPI fold containing family B member 9, pseudogene	20q11.21	402016
BPIFC	BPI fold containing family C	22q12.3	254240
BPNT1	3'(2'), 5'-bisphosphate nucleotidase 1	1q41	10380
BPNT2	3'(2'), 5'-bisphosphate nucleotidase 2	8q12.1	54928
BPNT2P1	BPNT2 pseudogene 1	1q32.2	100421537
BPTF	bromodomain PHD finger transcription factor	17q24.2	2186
BPTFP1	bromodomain PHD finger transcription factor pseudogene 1	17q24.1	109286551
BPY2	basic charge Y-linked 2	Yq11.223	9083
BPY2B	basic charge Y-linked 2B	Yq11.23	442867
BPY2C	basic charge Y-linked 2C	Yq11.23	442868
BPY2DP	basic charge Y-linked 2D, pseudogene	Yp11.2	
BRAF	B-Raf proto-oncogene, serine/threonine kinase	7q34	673
BRAFP1	BRAF pseudogene 1	Xq13.3	286494
BRAP	BRCA1 associated protein	12q24.12	8315
BRAT1	BRCA1 associated ATM activator 1	7p22.3	221927
BRCA1	BRCA1 DNA repair associated	17q21.31	672
BRCA1P1	BRCA1 pseudogene 1	17q21.31	394269
BRCA2	BRCA2 DNA repair associated	13q13.1	675
BRCC3	BRCA1/BRCA2-containing complex subunit 3	Xq28	79184
BRCC3P1	BRCA1/BRCA2-containing complex subunit 3 pseudogene 1	5q35.2	100421311
BRD1	bromodomain containing 1	22q13.33	23774
BRD2	bromodomain containing 2	6p21.32	6046
BRD3	bromodomain containing 3	9q34.2	8019
BRD3OS	BRD3 opposite strand	9q34.2	266655
BRD4	bromodomain containing 4	19p13.12	23476
BRD7	bromodomain containing 7	16q12.1	29117
BRD7P1	bromodomain containing 7 pseudogene 1	14q11.2	100288948
BRD7P2	bromodomain containing 7 pseudogene 2	3q25.33	647076
BRD7P3	bromodomain containing 7 pseudogene 3	6q22.31	23629
BRD7P4	bromodomain containing 7 pseudogene 4	6q21	100287229
BRD7P5	bromodomain containing 7 pseudogene 5	13q32.1	100129259
BRD7P6	bromodomain containing 7 pseudogene 6	2p13.3	100128042
BRD7P7	BRD7 pseudogene 7	3q13.13	100419877
BRD8	bromodomain containing 8	5q31.2	10902
BRD9	bromodomain containing 9	5p15.33	65980
BRD9P1	bromodomain containing 9 pseudogene 1	11q13.2	
BRD9P2	bromodomain containing 9 pseudogene 2	5p15.33	
BRDT	bromodomain testis associated	1p22.1	676
BRDTP1	bromodomain testis associated pseudogene 1	Xq21.33	643486
BRF1	BRF1 RNA polymerase III transcription initiation factor subunit	14q32.33	2972
BRF2	BRF2 RNA polymerase III transcription initiation factor subunit	8p11.23	55290
BRI3	brain protein I3	7q21.3	25798
BRI3BP	BRI3 binding protein	12q24.31	140707
BRI3BPP1	BRI3 binding protein pseudogene 1	19p12	100129976
BRI3P1	brain protein I3 pseudogene 1	1p21.2	730010
BRI3P2	brain protein I3 pseudogene 2	12p12.1	441630
BRI3P3	brain protein I3 pseudogene 3	17p11.2	100101554
BRICD5	BRICHOS domain containing 5	16p13.3	283870
BRINP1	BMP/retinoic acid inducible neural specific 1	9q33.1	1620
BRINP2	BMP/retinoic acid inducible neural specific 2	1q25.2	57795
BRINP3	BMP/retinoic acid inducible neural specific 3	1q31.1	339479
BRINP3-DT	BRINP3 divergent transcript	1q31.1	101929120
BRIP1	BRCA1 interacting helicase 1	17q23.2	83990
BRIX1	biogenesis of ribosomes BRX1	5p13.2	55299
BRIX1P1	BRIX1 pseudogene 1	8q11.22	100422268
BRK1	BRICK1 subunit of SCAR/WAVE actin nucleating complex	3p25.3	55845
BRK1P1	BRICK1 pseudogene 1	Xp22.31	100288031
BRK1P2	BRK1 pseudogene 2	13q31.3	100874492
BRME1	break repair meiotic recombinase recruitment factor 1	19p13.12	79173
BRMS1	BRMS1 transcriptional repressor and anoikis regulator	11q13.2	25855
BRMS1L	BRMS1 like transcriptional repressor	14q13.2	84312
BROX	BRO1 domain and CAAX motif containing	1q41	148362
BRPF1	bromodomain and PHD finger containing 1	3p25.3	7862
BRPF3	bromodomain and PHD finger containing 3	6p21.31	27154
BRPF3-AS1	BRPF3 antisense RNA 1	6p21.31	102723648
BRS3	bombesin receptor subtype 3	Xq26.3	680
BRSK1	BR serine/threonine kinase 1	19q13.42	84446
BRSK2	BR serine/threonine kinase 2	11p15.5	9024
BRWD1	bromodomain and WD repeat domain containing 1	21q22.2	54014
BRWD1-AS1	BRWD1 antisense RNA 1	21q22.2	100874093
BRWD1-AS2	BRWD1 antisense RNA 2	21q22.2	103091865
BRWD1-IT1	BRWD1 intronic transcript 1	21q22.2	
BRWD1P1	bromodomain and WD repeat domain containing 1 pseudogene 1	1p36.21	
BRWD1P2	bromodomain and WD repeat domain containing 1 pseudogene 2	12q21.33	100287505
BRWD1P3	bromodomain and WD repeat domain containing 1 pseudogene 3	7p21.1	
BRWD3	bromodomain and WD repeat domain containing 3	Xq21.1	254065
BSCL2	BSCL2 lipid droplet biogenesis associated, seipin	11q12.3	26580
BSDC1	BSD domain containing 1	1p35.1	55108
BSG	basigin (Ok blood group)	19p13.3	682
BSG-AS1	BSG antisense RNA 1	19p13.3	105372233
BSN	bassoon presynaptic cytomatrix protein	3p21.31	8927
BSN-AS1	BSN antisense RNA 1	3p21.31	
BSN-DT	BSN divergent transcript	3p21.31	100132677
BSND	barttin CLCNK type accessory subunit beta	1p32.3	7809
BSNDP1	BSND pseudogene 1	20p11.1	
BSNDP2	BSND pseudogene 2	20p11.1	100422517
BSNDP3	BSND pseudogene 3	20p11.1	
BSNDP4	BSND pseudogene 4	7p11.2	
BSPH1	binder of sperm protein homolog 1	19q13.33	100131137
BSPRY	B-box and SPRY domain containing	9q32	54836
BST1	bone marrow stromal cell antigen 1	4p15.32	683
BST2	bone marrow stromal cell antigen 2	19p13.11	684
BSX	brain specific homeobox	11q24.1	390259
BTAF1	B-TFIID TATA-box binding protein associated factor 1	10q23.32	9044
BTBD1	BTB domain containing 1	15q25.2	53339
BTBD2	BTB domain containing 2	19p13.3	55643
BTBD3	BTB domain containing 3	20p12.2	22903
BTBD3-AS1	BTBD3 antisense RNA 1	20p12.2	
BTBD6	BTB domain containing 6	14q32.33	90135
BTBD6P1	BTB domain containing 6 pseudogene 1	1p36.11	646330
BTBD7	BTB domain containing 7	14q32.12	55727
BTBD7P1	BTB domain containing 7 pseudogene 1	10p13	441548
BTBD7P2	BTB domain containing 7 pseudogene 2	10q25.2	100420392
BTBD8	BTB domain containing 8	1p22.1	284697
BTBD9	BTB domain containing 9	6p21.2	114781
BTBD9-AS1	BTBD9 antisense RNA 1	6p21.2	101929425
BTBD10	BTB domain containing 10	11p15.3	84280
BTBD10P1	BTB domain containing 10 pseudogene 1	12q13.13	100128678
BTBD10P2	BTB domain containing 10 pseudogene 2	6q25.1	100420401
BTBD16	BTB domain containing 16	10q26.13	118663
BTBD17	BTB domain containing 17	17q25.1	388419
BTBD18	BTB domain containing 18	11q12.1	643376
BTBD19	BTB domain containing 19	1p34.1	149478
BTC	betacellulin	4q13.3	685
BTD	biotinidase	3p25.1	686
BTF3	basic transcription factor 3	5q13.2	689
BTF3-DT	BTF3 divergent transcript	5q13.2	
BTF3L4	basic transcription factor 3 like 4	1p32.3	91408
BTF3L4P1	basic transcription factor 3 like 4 pseudogene 1	21q21.1	100505945
BTF3L4P2	basic transcription factor 3 like 4 pseudogene 2	2q24.2	653189
BTF3L4P3	basic transcription factor 3 like 4 pseudogene 3	6q23.3	391040
BTF3L4P4	basic transcription factor 3 like 4 pseudogene 4	4q32.3	100506061
BTF3P1	BTF3 pseudogene 1	8q11.23	693
BTF3P2	BTF3 pseudogene 2	14q12	283631
BTF3P3	BTF3 pseudogene 3	8p21.3	652964
BTF3P4	basic transcription factor 3 pseudogene 4	9q21.13	392350
BTF3P5	basic transcription factor 3 pseudogene 5	2p16.1	652959
BTF3P6	basic transcription factor 3 pseudogene 6	21q22.11	100499261
BTF3P7	basic transcription factor 3 pseudogene 7	6p25.1	652960
BTF3P8	basic transcription factor 3 pseudogene 8	Xq11.1	652961
BTF3P9	basic transcription factor 3 pseudogene 9	1q42.13	503543
BTF3P10	basic transcription factor 3 pseudogene 10	6q25.1	345829
BTF3P11	basic transcription factor 3 pseudogene 11	13q22.3	690
BTF3P12	basic transcription factor 3 pseudogene 12	8q13.3	652963
BTF3P13	basic transcription factor 3 pseudogene 13	4q23	132556
BTF3P14	basic transcription factor 3 pseudogene 14	17p13.2	100132641
BTF3P15	basic transcription factor 3 pseudogene 15	10q25.1	100130409
BTF3P16	basic transcription factor 3 pseudogene 16	3q12.3	643412
BTG1	BTG anti-proliferation factor 1	12q21.33	694
BTG1-DT	BTG1 divergent transcript	12q21.33	101928617
BTG1P1	BTG anti-proliferation factor 1 pseudogene 1	12p13.31	100129641
BTG2	BTG anti-proliferation factor 2	1q32.1	7832
BTG2-DT	BTG2 divergent transcript	1q32.1	730227
BTG3	BTG anti-proliferation factor 3	21q21.1	10950
BTG3-AS1	BTG3 antisense RNA 1	21q21.1	
BTG3P1	BTG anti-proliferation factor 3 pseudogene 1	Xq25	100419246
BTG4	BTG anti-proliferation factor 4	11q23.1	54766
BTG4P1	BTG anti-proliferation factor 4 pseudogene 1	5p14.1	
BTK	Bruton tyrosine kinase	Xq22.1	695
BTLA	B and T lymphocyte associated	3q13.2	151888
BTN1A1	butyrophilin subfamily 1 member A1	6p22.2	696
BTN1A1P1	butyrophilin subfamily 1 member A1 pseudogene 1	6p22.2	100420941
BTN2A1	butyrophilin subfamily 2 member A1	6p22.2	11120
BTN2A2	butyrophilin subfamily 2 member A2	6p22.2	10385
BTN2A3P	butyrophilin subfamily 2 member A3, pseudogene	6p22.2	54718
BTN3A1	butyrophilin subfamily 3 member A1	6p22.2	11119
BTN3A2	butyrophilin subfamily 3 member A2	6p22.2	11118
BTN3A3	butyrophilin subfamily 3 member A3	6p22.2	10384
BTNL2	butyrophilin like 2	6p21.32	56244
BTNL3	butyrophilin like 3	5q35.3	10917
BTNL8	butyrophilin like 8	5q35.3	79908
BTNL9	butyrophilin like 9	5q35.3	153579
BTNL10P	butyrophilin like 10, pseudogene	1q42.13	100129094
BTNL12P	butyrophilin like 12, pseudogene	3q13.33	100130701
BTRC	beta-transducin repeat containing E3 ubiquitin protein ligase	10q24.32	8945
BTRCP1	beta-transducin repeat containing E3 ubiquitin protein ligase pseudogene 1	6q23.3	100420631
BUB1	BUB1 mitotic checkpoint serine/threonine kinase	2q13	699
BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B	15q15.1	701
BUB1B-PAK6	BUB1B-PAK6 readthrough	15q15.1	106821730
BUB1P1	BUB1 mitotic checkpoint serine/threonine kinase pseudogene 1	10q26.2	100422363
BUB3	BUB3 mitotic checkpoint protein	10q26.13	9184
BUB3P1	BUB3 mitotic checkpoint protein pseudogene 1	7q31.1	646614
BUD13	BUD13 homolog	11q23.3	84811
BUD13-DT	BUD13 divergent transcript	11q23.3	
BUD13P1	BUD13 homolog pseudogene 1	11q21	100420358
BUD23	BUD23 rRNA methyltransferase and ribosome maturation factor	7q11.23	114049
BUD31	BUD31 homolog	7q22.1	8896
BUD31P1	BUD31 homolog pseudogene 1	8p12	
BUD31P2	BUD31 homolog pseudogene 2	Xq13.3	
BVES	blood vessel epicardial substance	6q21	11149
BVES-AS1	BVES antisense RNA 1	6q21	154442
BVR1	Burkitt lymphoma variant rearranging region 1	8q24	
BYSL	bystin like	6p21.1	705
BZW1	basic leucine zipper and W2 domains 1	2q33.1	9689
BZW1-AS1	BZW1 antisense RNA 1	2q33.1	101927795
BZW1P1	basic leucine zipper and W2 domains 1 pseudogene 1	3q26.31	391592
BZW1P2	basic leucine zipper and W2 domains 1 pseudogene 2	3q13.31	151579
BZW2	basic leucine zipper and W2 domains 2	7p21.1	28969
C1D	C1D nuclear receptor corepressor	2p14	10438
C1DP1	C1D nuclear receptor corepressor pseudogene 1	10p11.22	554049
C1DP2	C1D nuclear receptor corepressor pseudogene 2	10q22.3	642538
C1DP3	C1D nuclear receptor corepressor pseudogene 3	10q22.3	642521
C1DP4	C1D nuclear receptor corepressor pseudogene 4	10q22.3	727879
C1DP5	C1D nuclear receptor corepressor pseudogene 5	11q14.1	
C1GALT1	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1	7p22.1-p21.3	56913
C1GALT1C1	C1GALT1 specific chaperone 1	Xq24	29071
C1GALT1C1L	C1GALT1 specific chaperone 1 like	2p21	728819
C1GALT1P1	C1GALT1 pseudogene 1	12q15	729409
C1GALT1P2	C1GALT1 pseudogene 2	5q11.2	100128603
C1GALT1P3	C1GALT1 pseudogene 3	8q12.3	
C1orf21	chromosome 1 open reading frame 21	1q25.3	81563
C1orf21-DT	C1orf21 divergent transcript	1q25.3	
C1orf35	chromosome 1 open reading frame 35	1q42.13	79169
C1orf43	chromosome 1 open reading frame 43	1q21.3	25912
C1orf50	chromosome 1 open reading frame 50	1p34.2	79078
C1orf50-AS1	C1orf50 antisense RNA 1	1p34.2	
C1orf52	chromosome 1 open reading frame 52	1p22.3	148423
C1orf53	chromosome 1 open reading frame 53	1q31.3	388722
C1orf54	chromosome 1 open reading frame 54	1q21.2	79630
C1orf56	chromosome 1 open reading frame 56	1q21.3	54964
C1orf68	chromosome 1 open reading frame 68	1q21.3	100129271
C1orf74	chromosome 1 open reading frame 74	1q32.2	148304
C1orf87	chromosome 1 open reading frame 87	1p32.1	127795
C1orf94	chromosome 1 open reading frame 94	1p35.1	84970
C1orf100	chromosome 1 open reading frame 100	1q44	200159
C1orf100P1	C1orf100 pseudogene 1	3p21.31	
C1orf105	chromosome 1 open reading frame 105	1q24.3	92346
C1orf109	chromosome 1 open reading frame 109	1p34.3	54955
C1orf112	chromosome 1 open reading frame 112	1q24.2	55732
C1orf115	chromosome 1 open reading frame 115	1q41	79762
C1orf116	chromosome 1 open reading frame 116	1q32.1	79098
C1orf122	chromosome 1 open reading frame 122	1p34.3	127687
C1orf127	chromosome 1 open reading frame 127	1p36.22	148345
C1orf131	chromosome 1 open reading frame 131	1q42.2	128061
C1orf141	chromosome 1 open reading frame 141	1p31.3	400757
C1orf146	chromosome 1 open reading frame 146	1p22.1	388649
C1orf159	chromosome 1 open reading frame 159	1p36.33	54991
C1orf162	chromosome 1 open reading frame 162	1p13.2	128346
C1orf167	chromosome 1 open reading frame 167	1p36.22	284498
C1orf167-AS1	C1orf167 antisense RNA 1	1p36.22	102724659
C1orf174	chromosome 1 open reading frame 174	1p36.32	339448
C1orf185	chromosome 1 open reading frame 185	1p32.3	284546
C1orf198	chromosome 1 open reading frame 198	1q42.2	84886
C1orf210	chromosome 1 open reading frame 210	1p34.2	149466
C1orf216	chromosome 1 open reading frame 216	1p34.3	127703
C1orf220	chromosome 1 putative open reading frame 220	1q25.2	400798
